vh,perdel,bgtime,deltime,speed,dist,occ,carpop
5000,0.01,87.75343,88.58646,12.44703,17.22676,0.724631,175.0833
5000,0.02,88.10573,89.47812,12.16045,16.40446,0.745446,174.356
5000,0.03,88.11745,85.41042,11.92927,16.65897,0.723703,173.451
5000,0.04,87.75169,86.31071,11.79367,16.92106,0.741009,179.4611
5000,0.05,88.16718,88.05386,11.48997,17.70623,0.744739,176.15
5000,0.06,88.09803,86.32721,11.29016,17.48232,0.752249,178.0944
5000,0.07,87.97531,89.67815,10.9575,17.06655,0.734077,175.0944
5000,0.08,87.42723,86.91954,10.88202,17.59651,0.742736,176.7056
5000,0.09,87.91577,88.05312,10.67745,17.66258,0.752157,175.6167
5000,0.1,87.99829,87.50461,10.30927,16.85066,0.727919,173.0833
6000,0.01,89.96624,88.34492,11.93467,17.02301,0.803177,247.3056
6000,0.02,89.75258,89.77683,11.81927,17.17343,0.810005,237.9778
6000,0.03,89.93258,90.08921,11.76271,17.24765,0.796484,242.7556
6000,0.04,89.97389,90.9906,11.55791,18.15952,0.81038,239.7389
6000,0.05,90.25408,91.92295,11.34089,17.88793,0.828745,240.3889
6000,0.06,90.37631,89.73556,11.13679,18.49471,0.809533,250.5333
6000,0.07,90.7624,90.46676,10.75147,17.12622,0.794167,243.7167
6000,0.08,90.12338,90.09572,10.42461,17.63915,0.823115,237.2389
6000,0.09,90.76707,89.6588,10.10473,18.96772,0.815204,234.782
6000,0.1,90.72345,89.75954,9.929573,18.49651,0.808776,241.4778
7000,0.01,96.00245,95.3726,10.59445,19.01715,0.937018,319.2944
7000,0.02,95.85024,96.12866,10.36377,18.96481,0.944786,319.2667
7000,0.03,96.0179,97.98626,10.19494,18.87053,0.958122,325.05
7000,0.04,96.39867,94.28828,9.952623,21.07355,0.963421,322.7722
7000,0.05,96.41429,95.56721,9.717804,20.10669,0.956142,317.757
7000,0.06,96.47073,95.00039,9.511233,19.64492,0.965976,314.6222
7000,0.07,96.25519,94.80786,9.382391,19.59137,0.955447,317.9889
7000,0.08,96.59294,98.29912,9.231046,20.09295,0.956032,328.1444
7000,0.09,96.77527,97.98852,8.998148,18.87625,0.939706,313.8111
7000,0.1,96.77019,98.86546,8.765459,20.35003,0.96659,317.9722
8000,0.01,102.4781,105.5508,8.441777,35.05887,0.592644,462.3889
8000,0.02,104.0747,106.183,8.214827,37.55699,0.710626,445.9944
8000,0.03,104.7242,104.4038,7.953724,38.93569,0.708186,450.5333
8000,0.04,105.0961,105.1707,7.707562,39.22596,0.712076,440.2667
8000,0.05,104.9751,102.9449,7.530958,40.65751,0.716458,464.1667
8000,0.06,105.3545,106.1211,7.240772,40.92183,0.715726,441.7111
8000,0.07,104.7103,105.1758,7.06747,41.24319,0.707156,428.3111
8000,0.08,105.7146,107.7347,6.931619,43.18776,0.708696,463.9111
8000,0.09,105.971,103.4463,6.712179,44.23533,0.717797,451.2889
8000,0.1,106.4123,108.1139,6.419478,44.82918,0.714086,450.6167
9000,0.01,145.6249,143.6754,3.900043,60.14213,0.633395,740.7444
9000,0.02,148.5388,150.4501,3.253084,61.80033,0.641865,755.5111
9000,0.03,154.4149,154.0722,3.154918,65.64761,0.630494,745.5556
9000,0.04,156.3568,157.2746,3.267776,67.50348,0.651849,763.7556
9000,0.05,157.7979,159.2692,2.817334,69.72911,0.685152,772.0444
9000,0.06,159.4447,160.5848,2.238707,70.97298,0.652645,768.4222
9000,0.07,163.2312,164.4451,2.179313,72.75262,0.628687,759.555
9000,0.08,168.949,167.852,2.562248,73.93332,0.658745,762.956
9000,0.09,172.2581,171.8909,1.726183,74.35006,0.63597,738.651
9000,0.1,175.6151,177.5046,1.508134,75.38305,0.647904,712.9333